# command:
# git-check-rebase --meta rebase_5.14.0-42.el9_5.14.0-70.13.1.el9.meta --rows-hide-level show_all --columns full rhel9.beta:rh9-5.14.0-42.el9..rh9-5.14.0-42.vz9.15.3 rhel9.rtm:rh9-5.14.0-70.13.1.el9..rh9-5.14.0-70.13.1.vz9.16.1
#

<tag>  rhel9.beta    rhel9.rtm     SUBJECT
match  090e4ed2c3a9  f2b7e2e6dae2  x86: make ARCH_[SET|GET]_CPUID friends with /proc/vz/cpuid_override
match  dbd1f339a4a6  98dad4292223  x86: Show vcpu cpuflags in cpuinfo
match  7498b875919e  9f157c56f0ce  x86, cpuinfo: Fix race on parallel /proc/cpuinfo read #PSBM-121823
match  48f0c9e99a1e  7d20e428d3ee  x86: don't enable cpuid faults if /proc/vz/cpuid_override unused #PSBM-121823
match  b6b477194594  7e9d06f78aa3  ve/net/core: allow to call setsockopt(SO_SNDBUFFORCE) from Containers
match  c7b8a8ecd711  a99785b5decc  ve/net/core: allow to call setsockopt(SO_RCVBUFFORCE) from Containers
match  0d07397dc494  1b23d22b5591  vecalls: Introduce VZCTL_GET_CPU_STAT ioctl
match  eedbc9c42ba2  7ece32ff939a  ve: allow writing to features in pseudosuper state
match  8433a033ecd0  35f957aaa7d6  ve/fs/aio: aio_nr & aio_max_nr variables virtualization
match  7154341e7218  03083ba51bce  ve/aio: Add a handle to checkpoint/restore AIO context
match  04cb6d814df7  5093f0c9b196  ms/cgroup: let a symlink too be created with a cftype file
match  1510bcdc0e58  f238f22b795f  ms/block, bfq: add weight symlink to the bfq.weight cgroup parameter
match  aa1a7640f96a  972a8fec5a46  netlink: allow to set peeking offset for sockets
match  944012703fba  382681c87145  netlink: add an ability to restore messages in a receive queue
match  07c3c37f8549  67ea706900d1  netlink: add an option to set sk->err from userspace
match  e2cde29b6966  80b14d7d539e  ve/fs/namespace: allow submounts in non-init userns
match  66f622444cfd  ab23bc686f05  Kconfig.openvz: force CGROUP_PERF if compiling VZ Containers code
match  c95d2f50569b  b6d8662970b2  ext4: don't iterate over sbi->s_es_list more than the number of elements
ok     1e983bb6a030  604d027dec40  ve/ext3: treat panic_on_errors as remount-ro_on_errors in CTs
                                     (reviewed in the scope of PSBM-140278)
match  d3b65c72ad31  971dcfba83b8  ext4: Fix error handling after filesystem abort
match  dc263755fe55  8202225cf28e  jbd2: make shure that we do not miss aborted state
match  3faba6fac29f  93c6a125232a  ext4: make data=writeback mode safe
match  694f17931fc6  4cd96f8c7f3c  jbd2: raid amnesia protection for the journal
match  cac18613dce9  32111ca4ebb4  ext4: add mfsync support
match  c2a2054ed564  23a538ad8f8a  ms/Revert "ext4: simplify kobject usage"
ok     24dfe553c5af  1c3b77282ba0  ext4: add generic uevent infrastructure
match  44958db575a7  15413cef1d2b  ext4: send abort uevent on ext4 journal abort
match  14f32fa00760  ed55c33514fe  ve/net/ipv6 tunnels: Enable GRE netdevice register inside container
match  dfa104b14ddd  37d5a6306605  ve/net/sit: Enable SIT devices in Containers
match  3fa4fe7a65f0  f509a7e49ed4  ve/fs: Export fs.aio-max-nr via ve cgroup
match  c627904f4182  8fcd39a70b87  ms/fs: Revert "Make super_blocks and sb_lock static"
match  5ae2ad05b6bb  f63d1e30b98e  fs: Lower ioprio in case of ioprio_set() called from CT
match  4cf5fbc446de  aefdd3bdca6e  ve/fs/ioprio: Confine ioprio_{set, get}(IOPRIO_WHO_USER) to current ve
match  e7accd19bd51  b881ac0573f3  ve/fs: namespace -- Ignore device permissions during restore
match  baa9744095fc  a52d3edd6d4f  ve/fs: namespace -- Don't fail on permissions if @ve->devmnt_list is empty
match  ad53a4c1403a  f6847ec4bdc9  fs: FIEMAP should sync only required range with FIEMAP_FLAG_SYNC
match  c57ebe8c09bc  840b340385a0  ve/fs: Allow mount fs in init userns if it's mounted in another userns
match  fb97cab04db1  13acfc79e231  ve/fs/files: Add new argument to expand_files()
match  a3659677f95d  4cfc49267634  ve/fs/files: Add fdtable_align() helper
match  584d47a57e0e  48f5db36d739  ve/fs/files: Shrink big fdtable on close in is_pseudosuper mode
match  9d0a391c2e89  28e62bba7814  pidns: add proc mount option 'hidepidns=0|1'
match  9f811c8a9cb4  ef0fcd8587fe  x86/cpuid_fault: Increase max count of cpuid overrides
match  9e931057505f  953f07bf4bc8  x86/cpuid_fault: Log table updates
match  60e737c15df0  947f1778326d  drivers/bnx2x: Limit setting of the max mtu
match  25a195a1e5c2  93ef3bc4f4ef  drivers/igb: increase link detection timeout up to 5 sec
match  7c8999470425  582b4d76cf52  ve/cgroup: Hide ve cgroup in Containers
match  b2dd0101a459  76b1cdeab419  net/teql: disable "True" (or "trivial") link equalizer inside a CT
match  fc304efe4389  017eb488f9c9  connector: store all private data on VE structure
match  4efa39072d00  814bceb09d08  connector: introduce VE-aware get_cdev() helper
match  045ba70772e0  25de38f9c0be  connector: per-ve init and fini helpers introduced
match  ef13f0e49766  775259a23638  connector: use device stored in VE
match  5693ae081e0a  45f1f6741944  connector: per-ve helpers intoruduced
match  9d1674ea4d6c  2464b29808a8  connector: take cn_already_initialized from VE
match  6c7b46aa7d55  9b3376a6f098  proc connector: generic proc_event_connector() helper introduced
match  2bd92a8cb262  ad7e448e9c8d  proc connector: use generic event helper for fork event
match  fae544f28c7a  61e78a2c4119  proc connector: use generic event helper for exec event
match  2a404037b951  0af2023e8494  proc connector: use generic event helper for id event
match  072e1126209e  1b987e50048d  proc connector: use generic event helper for sid event
match  cf2993e33948  3330081bdd2f  proc connector: use generic event helper for ptrace event
match  eaae1e720cf9  925df0899c42  proc connector: use generic event helper for comm event
match  081607fe20ff  8727a9479bbd  proc connector: use generic event helper for coredump event
match  3dffea37bd4d  c08ad8b76484  proc connector: use generic event helper for exit event
match  7a4423886b5b  a8cfa04457fd  proc connector: add pid namespace awareness
match  b47c33ed5775  c17dc52ce2b2  proc connector: add per-ve init and fini foutines
match  03cf589e762f  f8affe02ab54  proc connector: call proc-related init and fini routines explicitly
match  22e21db014b8  659811e7d223  proc connector: take number of listeners and per-cpu conters from VE
match  c5d0724928e2  400e5ac57632  proc connector: pass VE to event fillers
match  e9de10ca5276  aa44dffbf12a  proc connector: take namespaces from VE
match  54c51bca171d  e98637a0d58b  proc connector: use per-ve netlink sender helper
match  be6d9fda1a32  825afc745088  proc connector: send events to both VEs if not in VE#0
match  1e0534fdab5f  b48888bd1ebe  connector: containerize "connector" proc entry
match  c44f0c679e7e  0f2b9d92e882  connector: take VE from socket upon callback
match  41f1fd28c624  8ac3b4150fd1  connector: add VE SS hook
match  c9b89b726749  abe2ebd27f1f  ve/kbd: add file kbd_bind in sysfs, which allow unbind keyboard from tty (v2)
match  003d65767de4  d1b2a7ff21d9  ve/tty: Provide interface for current tty inheritance
match  68d9ad88c123  81ef16f7ee4b  ve/tty: TIOSAK Secure Attention Key ioctl
match  923fe092fef2  bbe5b2bf2685  ve/tty: vt -- Implement per VE support for console and terminals
match  de1c7ef5c645  58038237b7cd  ve/vtty: Don't zap termios fields on slave peer
match  6cf227475d68  9e37dc7ef0fc  ve/vtty: Make indices to match pcs6 scheme
match  f0e3e215f54d  97aa92305fdb  ve/vtty: Don't close unread master peer if slave is nonzero
match  1759e2d688bb  4eccb71a67e7  ve/vtty: Don't free console mapping until no clients left
match  ff301714d447  5b0e46b70319  vtty: update termios settings and fix hung
match  6a256e5aa5d6  bd3442f6c0bd  ve/sysctl/kmod: Introduce tweak to allow indirect modules load from CT
match  b81e4f634e70  c25bd8566bd4  ve/kmod/whitelist: Infrustructure for list of modules to autoload from CT
match  592de9927f99  507e4389236a  ve/kmod: Honor modprobe blacklist on indirect modules autoload from CT
match  3ab1f5995aed  eccb819e12bc  ve/kmod/whitelist: Allow iptables/netfilter modules for autoload from CT
match  b2224ba1573a  f9400ccaa599  ve/kmod/whitelist: List of allowed to autoload in CT modules (non-netfilters)
match  92a9df9c6717  08a6361d1a8f  ve/kmod/whitelist: Add modules to whitelist for c/r sake
match  83e0e886f1b4  7ab79180d621  ve/kmod/whitelist: Allow dummy module autoloading
match  fdf7b6ed8a16  e31351a2c451  ve/kmod/whitelist: Enable vxlan module autoload from inside a Container
match  3b2d355adcd2  1093cb5e8912  ve/kmod/whitelist: Allow IPVS modules autoload in CT
match  0b50b044fbd4  726a030e7842  ve/kmod/whitelist: Allow netfilter/ipset modules autoload from inside a CT
match  8950e7958f38  8bf76365ee0b  ve/kmod/whitelist: Allow ip6tables_raw modules autoload upon request from CT
match  9fcefcc24b42  edabc10bec18  ve/kmod/whitelist: Allow NFS modules autoload in Containers
match  bb537da71f08  533e177c5ea4  ve/kmod/whitelist: Allow nfnetlink_queue module autoload from CT
match  a6f636579935  b819af19b5ba  ve/kmod/whitelist: Allow conntrack nft-helper-* modules autoloading
match  55370ebdfe53  9f7d40a24226  ve/kmod/whitelist: Allow ts_kmp module autoloading
match  28a9c4418659  91ccba1fc449  ve/kmod/whitelist: Allow nf_tables module autoloading on request from CT
match  70500ea6de31  91fe269f4444  ve/kmod/whitelist: Allow "nft_compat" module autoload from inside a Container
match  99f5d693d9e1  af244c563e03  ve/kmod/whitelist: Enable autoload for iptables security tables from inside CT
match  078032768ecd  535426ac87c7  ve/kmod/whitelist: make nfnetlink_log autoloadable upon request from a CT
match  d6268d445252  f4fe88a3236d  ve/kmod/whitelist: Make fib modules autoloadable from CT
match  18df756510e1  402fb2997ec7  ve/devtmpfs: lightweight virtualization
match  9f39b21d995f  569dd9af0c0e  ve/memcg: Virtualize /proc/vmstat view inside CT
match  5ce89154fb81  0bb899b0c028  ve: prohibit opening proc/self/exe from VE for VD_VE_ENTER_TASK
match  8cb0f08c576d  92d0d71a0560  ve/sysfs: relax sanity check for ns equality in kernfs_find_ns()
match  32fad348775f  bee36920d522  shmem/ve: virtualize tmpfs default size
ok     9f89fd51f2b3  2460109b0c06  ms/sock: allow reading and changing sk_userlocks with setsockopt
match  2dfd3ce4f187  64b154c2f749  net: openvswitch: add capability to specify ifindex of new links
match  fdc9e8361db8  215eea56f5d4  openvswitch: allow to create ovs bridges inside Containers
match  b9547ab25f51  3e6a611b87cc  ve/bridge: handle netlink messages AF_BRIDGE / RTM_[GSD]ETLINK sent from inside a Container
match  0302574bfa0f  defb011dcd38  scsi: ratelimit messages about rejected I/O
match  46b926bb62cf  51d93d0fb15c  ve/proc/block: show /proc/diskstats inside a Container
match  23f0be767d61  9668ada540ca  shm: skip shm_destroy if task IPC namespace was changed
match  1b21b2f58d0e  c579697034cf  ve: add get_curr_ve helper
match  a46a948a656a  314b2d14f3a2  ve: get_curr_ve: first try getting ve with rcu lock
match  ec2aa0523e8d  f4f074e2d287  cgroup/net_prio: virtualize ifpriomap per-ve
match  e4a75a3cfecd  10ce463856a5  ve/fs/inotify: do not impose limit on the number of instances by default
match  8b17c3b09236  bf60ad06e556  cgroup: remove excess rcu_read_lock in cgroup marking
match  f79f77efbf93  d2af363fddb0  ve/cgroup: Skip non-virtualized roots in cgroup_{,un}mark_ve_roots()
match  f348467722c9  18b8c2dc11bc  ve/cgroup: Add ve_owner field to cgroup
match  5076cff55e59  a9a115546479  cgroup: split cgroup_get_ve_root1 into css and cgroup version
match  293f3efb5b58  c05c1f8f646b  ve: use rcu_dereference for ve_ns in ve_get_init_css
match  f8c623d28547  702f2953cba8  ve/cgroup: temporary ignore misc cgroup to let vzctl start container
match  271ddb105e0f  ebda8b1de197  sched/ve: calc_load_ve -- use raw spinlock
match  9b9d79d7c2eb  ec7be3613316  x86/cpu: init_cpu_flags -- use raw spinlock
match  54e1fa638679  f32151730a79  kernel/cgroup: implement cgroup_get_e_ve_css
match  707900ece9a7  e5fa3025fc50  mm/backing-dev: associate writeback with correct blkcg
match  465b4c76331e  282894bc8238  mm/memcg: limit page cache in memcg hack
match  d6d87fa8cd25  95fe44f0d6f6  mm: introduce page vz extension (using page_ext)
match  5efc1d6fbe46  16f75e5e50e9  configs: Enable CONFIG_PAGE_EXTENSION
match  4bfc3301fb24  21eea5bafeed  ploop: Introduce option "off=" to cut beginning of device
match  79a6c9e60b0b  fd056bb4fa31  core: Add glob_kstat, percpu kstat and account mm stat
ok     dec2f18308ae  8f1df783f2b5  ve/page_alloc, kstat: account allocation latencies per-task and per-thread
match  dfc504e96822  2808783cccef  /proc/<pid>/vz_latency: Show maximal allocation latency in the last 2min.
match  39012fd98b70  a02461586697  /proc/<pid>/vz_latency: Add scheduling stats
match  8ed751257888  3a5bd45c5b7a  /proc/vz/latency: distinguish atomic allocations in irq from in task atomics.
match  13a589afab08  38fddbcaad90  /proc/vz/latency: Show max latency in 2 min instead of 5sec.
match  de456fab3d9c  bf4d0870bddb  mm/page_alloc: add latency to the page_alloc tracepoint
match  23034f6edddd  db90ab3a9293  fence-watchdog: Print alive messages
match  4e2ab92ca166  08c9d389f368  ve/device_cgroup: Introduce "devices.extra_list" cgroup file
match  3092aef846ed  6b7321d49ffd  ve/device_cgroup: Show all devices allowed in ct to fool docker
match  2634668f1f4b  879f01c7861d  net: export net/core/somaxconn sysctl for unprivileged users
match  da429f41527f  cd2f58344af0  xfs: Allow to mount XFS in non-init userns
match  4261c9258b48  fb8becc58b06  ve/netfilter: Send iptables/netfilter kernel error messages to Containers
match  736a520ceec1  2f1ef167dd0a  ve/netfilter: Implement pernet expect_max / virtualize "net.netfilter.nf_conntrack_expect_max" sysctl
match  69fe70ff556c  9b9b58390e35  ve/netfilter: Implement pernet net->ct.max / virtualize "nf_conntrack_max" sysctl
match  12fb075210bd  44ddae62d6d5  ve/netfilter: Check for permittions while looking for target and match
match  ee82477b05f5  229e184ec6bd  net: Primitives to enable conntrack allocation
match  fe1a3d292f15  761be76b7116  net: Mark conntrack users in xtables
match  99b7d5cc6a33  8cb18c058cef  net: Mark conntrack users in nftables
match  1a2db2ae4154  2bbc9b6c582b  net: export "net/*/neigh/*/*" sysctls for Container
match  97dcc46abcda  85244e07aec6  ve/mount: allow pseudosuper to temporary exceed the container limit
ok     0f721b6b7d48  c85f36d2cce8  ve/net/neighbour: per-ct limit for neighbour entries
match  3eb9556eeb0c  d538e86fb559  net/skbuff: Don't waste memory reserves
match  b7f34226e602  4a0f8b10d538  net/skbuff: WARN if kmalloc_reserve() fails to allocate memory.
match  7d1219102238  0d8d0bf9a48e  kvm/x86: add log printing on emulation failure
match  30712520be11  a3071a66e497  kvm/x86: extend info on emualation failure
match  ad7c38447f3b  99e17531396b  kvm: move VMs which we skip during shrink to vm_list tail
match  5997237f0564  9db4084bd4bd  kvm: move actual VM memory shrink out of kvm_lock
match  424169cfc847  7e6ae617dcc7  net/gre: Consider VE_FEATURE_IPGRE on new net creation
match  114e65bcaeab  16d83c02f96d  net/ip6ip: Consider VE_FEATURE_IPIP on new net creation
match  34fdf6de8b30  43987c11a6f1  fs: Export symbols replace_fd() and create_pipe_files()
match  fe3659ebaf1c  bf691f556128  ve/meminfo: show "MemAvailable: ..." line in CT's meminfo
match  5f869e2668d0  28b83b9a70d4  ve/memcg: Account some swapped memory as used in CT in /proc/meminfo
match  24d88967a518  ce4c4c6798b1  commoncap: relax setxattr and removxattr checks
match  1f6009022785  7f089f1db15a  DMA-API: exceeded 7 overlapping mappings of cacheline share
match  b9aab63581c4  f6a7abc88764  pid_ns: Virtualize pid_max
ok     d47a5a18396a  ca8433febbe2  mm: Add and use batched version of __tlb_remove_table()
match  554453b192c6  09c940c536a9  mempolicy: prohibit all NUMA API syscalls in VE
match  26d39e65e5ec  5fd9870c7a09  fs/super: don't destroy super_block in case of leaked inodes
match  e6851c1cd3ad  2700fd5fcdab  ve/cpu: handle sysfs attributes for CTs
match  9abf3b901a34  3907e6bc1e26  mm/vmscan: add cond_resched() to loop in shrink_slab_memcg()
match  6ead7b81705b  eada96c4650d  mm: fix hanging shrinker management on long do_shrink_slab
match  deadd0b71726  54f294189901  ve/capability: introduce capable() wrapper which honors CT features
match  98440b96a2fd  288d9b180bd0  ve/time: introduce CT feature to allow setting date/time
match  d2a5897ab793  fe5273e18b50  ve/time/ntp: allow CT ntp adjustment time tuning under VE_FEATURE_TIME feature
match  8fd4d3604a63  5193936793c4  scsi: aacraid: resurrect correct arc ctrl checks for Series-6
match  0f0a8dbd9970  1ce9f4c1a74e  ve/pid: Export kernel.pid_max via ve cgroup
match  35716fd1fb60  7481f781f282  ve/cgroup: fix cgroup_mark_ve_roots naming
match  a3e5250bb109  8685f0dacf99  mnt_ns: introduce global list of mount namespaces for debug
match  fcda9a81936d  33150c6921ac  cgroup/cfs: added 'activate' option to cgroup_add_file
match  336170fd03df  5aec3a181a41  ve/cgroup: Implement per-ve workqueue
match  cc9745b66715  5ff24d2ca551  ve/cgroup: Move release_agent from system_wq to per-ve workqueues
match  868cbfe52093  daa2f916bb63  ve/cgroup: Private per-cgroup-root data container
ok     257ba0a3b815  0be8179d6464  ve/cgroup: Set release_agent_path for root cgroups separately
match  37fb2d16ba8e  bc2d5f90d587  configs: Enable vhost_scsi module build
match  00b3ce9e7be1  6467f27681b7  xfs: Teach the fs where the balloon inode is
match  744094285efc  952c5284d858  xfs: Never show balloon in readdir results
match  7df1dff82642  9c5ff22f076d  xfs: Don't show the active balloon to user
match  555dd74b05ee  d33f6d1af16e  xfs: Provide a balloon nipple for management
match  dcdeb5392b74  5357c1dcfa4d  binfmt_misc: fix mount after umount in CT
match  64ed144cdc17  b37c9b5834a7  mm: tcache: handle not initialized tcache properly in tcache_shrink_count
match  82ce203e7f8d  1568669f3573  dm-ploop: Fix usage of bio_vec on stack
match  e7c3e8704788  65cb66557319  ve/cgroup: hide non-virtualized cgroups in container
match  694fbe0539c4  64cadefd097c  ploop: Provide more info about ENOSPC
match  ea83bbb30bb4  e7071e48658b  ploop: simplify ploop_status
match  97c499b293f7  46396cd9a9c1  drivers: build "isci" SAS controller driver
match  db54981f20e3  005ff5132fdd  ms/prctl: allow to setup brk for et_dyn executables
match  cf9653cf6d4f  a78b21627e84  ve/net/features: put per-ve netdev features to separate struct member
match  241730ba6ac5  9b9e8c038bf8  veth: Functionality to disable MAC changing and MAC filtering feature
match  eeb1e1683878  0dbc0b81e3a9  dm-tracking: Track request after it completed
match  f2285a3bb65c  fb7db37d522c  dm-tracking: Do not return EAGAIN in case of there is no changed clu
match  5869b22e2b03  a409b73c5495  dm-ploop: Remove tracking code
ok     876789f9c777  8ea221c062b1  ext4: Check alloc_file() results in ext4_open_balloon()
match  05175d1eb88c  58b017b06fc2  xfs: Check alloc_file() results in xfs_open_balloon()
match  eab30afdf888  673525dfb87a  ve: fixes for !CONFIG_VE case
match  e8a492c0f852  5e63f020ce2e  dm-qcow2: Do not fail .ctr in case dirty bit is set
match  7d14fd36436b  50ac482f46e3  dm-qcow2: Do not check for dirty bit if mount is RO
match  7b0715d7d30e  7d367807e67a  ms/misc/pvpanic: fix set driver data
match  d64ce41bfe6a  5c9e26bd4ced  ve: cgroup -- don't use atomic lock in the sleepable context
match  b70b0cd0fa3e  e46d0664a924  ms/vmalloc: back off when the current task is OOM-killed
match  795a04705a96  fbd31269134c  ms/mm/vmalloc: repair warn_alloc()s in __vmalloc_area_node()
match  db3f62263c18  fe3d0580e666  ms/mm, oom: pagefault_out_of_memory: don't force global OOM for dying tasks
match  41529a9d51ba  3adc5450c741  ms/mm, oom: do not trigger out_of_memory from the #PF
match  c2531487d98d  de71a34d3a73  ms/memcg: prohibit unconditional exceeding the limit of dying tasks
match  4accbe330c15  8f6c8c5e27f3  ms/memcg, kmem: further deprecate kmem.limit_in_bytes
match  bc786faaf2c8  4db60ad79fe4  ovl: replace capable by ve_capable for indexing feature
match  23c07b93624c  64f1a13e9eaf  dm-qcow2: Extend status line - show qcow2 version and cluster size
match  d086d83359c5  65a75ad63758  dm-ploop: Remove unused code
match  3a213fbd6d90  72612284d26d  dm-ploop: Fix obsolete comments
match  907b35564bb6  747084fb7cc7  ve/netfilter: Add autoloading of sockopt modules
match  950b1816a257  60e7e5b30a8d  dm-qcow2: Return empty string instead of -ENOENT in qcow2_get_img_name()
match  9bc9207e9592  d4ee3ad397ca  dm-qcow2: Temporary disable dirty bit check
match  bfb479abd7ca  83f91a961372  ve/acct: Allow process accounting in containers
match  4049de7736e2  b92c4621eb46  configs: Enable e1000 module build
match  b26e8cbcafc4  98d2dd4a4fdb  ms/tracing: Don't use out-of-sync va_list in event printing
match  2c00333837f0  2e6d2f19baee  dm-ploop: Rename size_in_clus
match  56b3975595cd  fa5b9e21ade2  dm-ploop: Add check to process_update_delta_index()
match  a6e7ee7bf9d5  a478d9e511bd  dm-qcow2: Return empty string instead of -ENOENT in qcow2_get_fd()
match  85a9367b544d  a8ff002f4958  dm-qcow2: Extract similar code from qcow2_get_img_name() and qcow2_get_img_fd()
match  7958b30608a6  eae95c9f19af  dm_qcow2: Kill nr_images and introduce img_id instead
match  fad7c22c75d0  475270730448  dm-qcow2: Make qcow2_get_img() use qcow2_ref_inc()
match  4e482f7ccbdf  0d4cc7fa68ef  dm-qcow2: Move qcow2_get_img_name() and qcow2_get_img_fd() out of mutex
match  09fb206c2070  0d97c7eda959  dm-qcow2: Change call_rw_iter() parameter
match  b81d40a74c01  a2d2dc6729cb  dm-qcow2: Add fault injection
match  c738f4463b27  fd3c4c05af07  ms/xfs: fold perag loop iteration logic into helper function
match  31578358e06b  d784afee755c  ms/xfs: rename the next_agno perag iteration variable
match  8ef7ebfd1509  ffde7e89ae7e  ms/xfs: terminate perag iteration reliably on agcount
match  eb75621fcf3a  c9f174d25fe8  ms/xfs: fix perag reference leak on iteration race with growfs
match  2366fca2ee77  361a21d5ccf9  ve/fs: support per-CT disable of filesystem sync operations
match  1114be6892e6  7dd741722d6a  ve/fs: introduce is_sb_ve_accessible()
match  6a4d683d999e  a4586efe815f  ve/fs/sync: introduce argument struct for helper routines
match  900988bd58ce  c885b6b16cd0  ve/fs: per-CT sync behavior management
match  4dafb2feaf27  8ebec8e63f88  FD: fs: per-CT sync behavior management
match  d43508b3a61c  e1ded3baecfe  rebase_logs: Add rebase logs for 4.18.0-240.1.1.el8 to 4.18.0-305.3.1.el8 rebase
match  949aa6aace95  4c0dcb9ebeb8  ms/dccp: don't duplicate ccid when cloning dccp sock
match  7c8e087f10e7  8c8b165510c0  net: export "net/core/xfrm*" sysctls for containers
match  b257863aed12  d14d1cf0d57d  devtmpfs: Do not reuse name of existing varible
match  5df53247ceaa  cfc42f94f002  ms/tracing/osnoise: Fix missed cpus_read_unlock() in start_per_cpu_kthreads()
match  276410a89c93  bca4d410328e  ms/tracing/osnoise: Properly unhook events if start_per_cpu_kthreads() fails
match  493c64829750  d44cb4607397  ms/nfsd4: add refcount for nfsd4_blocked_lock
match  d39180b175cb  7d97b78a5ab6  ms/fuse: drop obsoleted and incorrect restriction in fuse_setlk
match  f0afe50a68ee  6f35d7402f67  ms/fuse: async processing of F_SETLK with FL_SLEEP flag
match  0a77c80abcca  109452655aa6  net/drivers/slip: disable high-order allocations warnings in slip driver
match  476cf74b0119  aa89d7ec6570  net: hide high-order-request warning in pskb_expand_head()
match  b870acfc54c0  b07a2c56dd8a  ms/nfs4: skip locks_lock_inode_wait() in nfs4_locku_done if FL_ACCESS is set
match  48ccea7ff6dc  faee7c873d0e  fuse: Turn writeback cache on
match  4041566f4dd2  6575a7899212  fuse: direct_enable mount option
match  19a5efaf72ea  f149c1b8516c  fuse: fuse-ve-odirect sysctl
match  63d32303be7d  9a9e281d73f6  fuse: Show active requests in fusectl files
match  f0d566483e70  71054c2318fa  fuse: Show open files in fusectl
match  485fd4078cd1  30261cc99946  fuse: Fuse ctl file with connection info
match  981eb8f40edb  242281fe1d78  fuse: some fairness in handling writeback
match  50d90408329b  04403d232085  fuse: Wait for real writeback to finish on file
match  12addea44c4e  6a2d13441554  fuse: reimplement synchronous close
match  d2213a4bdd54  8d6e8f9977db  fuse: i_size to be updated on first open
match  e1d590e97673  c380050346bd  fuse: account directio requests into ioacct
match  d5f39e374deb  af5814b6f57a  fuse: optimize fuse_vma_close()
match  5cd95bb188d3  ef33b0df10d4  fuse: implement invalidate_files notification
match  8de0a20d53a6  a66621bb5770  fuse: cleanups in fuse writeback
match  e53cf8587d5d  587bd54d8282  fuse: add missed fuse_file_put()
match  40a7eceaf80a  5d62d4439eaa  fuse: do not use RELEASE on directory
match  45d758b1089f  2836a19edd99  fuse: extend report on pstorage errors
match  f49c0819d323  ba73283bb39d  fuse: print initialized flag in conn info
match  8ee40f22497f  ca79cabcd917  fuse: make umount synchronous
match  5d687cb7af12  ab32011ae8cc  fuse: add mount option to disable close_wait
match  49eefc5bbae2  a41a30127022  fuse: do not flush files opened ro
match  ba7aab8b3969  beca816e7772  fuse: the list of all opened files
match  140f320ad08f  19d43a921d59  fuse: add page_cache bit to fuse request
match  b389853b0b57  7a409c5e2cc0  fuse: add "killed" bit to fuse request
match  3a7e8c4febce  657d2947da20  fuse: kill requests on "lost-lease" event
match  e5576d0417de  c66f35c1f6f6  fuse: prevent queueing new requests after
match  7fdb2e21c71e  dd68a29de118  fuse: skip waiting for fuse writeback
match  4f7d43b111fd  5733c6ddc419  fuse: fail lost-lease notification if async_read
match  722eb1344758  295ea65dd51d  fuse: report details of aio failure
match  182b816eb03e  85d83a1867b3  fuse: fix writeback/release race
match  899c2afe8264  0d2b94bdd74c  fuse: invalidate_files backward compatibility mode
match  81ea1ce619cc  0db43fc72a0d  fuse: fix deadlock in fuse_flush()
match  0b49753c843a  73d0dd298de8  fuse: release cleanup
match  ff500125a4a2  3e47fe24eee3  fuse: enable synchronous close for both "pstorage://" and "vstorage://" fs types
match  58f829fabf5d  82d54cd30500  fuse: fuse_send_writepage() must check FUSE_S_FAIL_IMMEDIATELY
match  0334e2128f13  b9f562c6cef9  fuse: ratelimint dio complains
match  7685565ffd28  f30d1b19c496  fuse: trust server file size unless opened
match  8888a47b45ac  2fb1bbe54eea  fuse: fuse_blocked_for_wb must check rw_files
match  3a23ad79d856  2fb75f81840f  fuse: fuse_prepare_write() cannot handle page from killed request
match  fa5ae2afae0d  d15e86d418b9  fuse: separate iqueue for clones
match  2b5e5f9d103a  4026269c107c  fuse: ioctl() to bind fuse device to input queue
match  797a4e213334  18397c71cd7f  fuse: ioctl(FIEMAP) support
match  42db317deac2  142b2b38278a  fuse: skip invalidate_inode_pages2 on truncate
match  0261ddcb70db  f32fc1f7b5ff  fuse: fix ->end() vs ->waitq ordering
match  6e2182bcbe6d  5463fa90f196  fuse: add kdirect io engine v0.1
match  d21657386dfc  1fd480e07de9  fuse kio: minimal noop engine skeleton
match  40429d2c6b6a  7a6aeb5e2666  fuse kio: Add nullio engine
match  5d3f8332cf74  10bfa321fb72  fuse kio: Add pcs engine combo v0.8
match  db8e4e8be1b7  ce9c01c86e66  fio kio: PCS unblock writepath
match  3674cae886df  b0f61dab4281  fuse_kio_pcs: implement truncate
match  04f22576e002  c5a7c62c1e4c  configs: Introduce FUSE_KIO_NOOP option and disable module build by default
match  d1bcd27880ba  4d9c00c73fb4  configs: Introduce FUSE_KIO_NULLIO option and disable module build by default
match  88e7d361cd8c  d97ec929196e  configs: Enable vStorage in-kernel fast path module build
match  d5c5096fe7d5  85f3ac87165d  fuse kio pcs: implement logging and prometheus statistics collection v2
match  d1cb07b185d0  9399b310503b  fuse kio_pcs: ignore special inodes
match  226a63eab87a  a47548186a73  fuse pcs_kio: fix page zeroing beond EOF
match  ef8621026c1b  72e978bfe45b  fuse/kio_pcs: support FUSE_FSYNC
match  f17ba30116e6  f8e00ca1309e  fuse: support FS_IOC_FIEMAP in i386 compat mode
match  1b371030caba  fdd53a1294be  fuse/kio_pcs: adapt prometheus statistics to current vstorage state
match  90d0ec906f8c  1a74297adea8  fuse/kio_pcs: fallocate support at low pcs protocol level
match  0cc4e1004ab7  bf59631d31fe  fuse/kio_pcs: full fallocate() support
